,y,x,osmid,highway,ref,geometry
661239,48.8506758,2.2923769,661239,traffic_signals,,POINT (2.2923769 48.8506758)
661244,48.8464821,2.301822,661244,,,POINT (2.301822 48.8464821)
5056927490,48.8387501,2.2663143,5056927490,,,POINT (2.2663143 48.8387501)
202807053,48.8951008,2.3635409,202807053,,,POINT (2.3635409 48.8951008)
202807054,48.8949154,2.3649085,202807054,,,POINT (2.3649085 48.8949154)
202807056,48.8943249,2.365979,202807056,,,POINT (2.365979 48.8943249)
202118936,48.8947894,2.3823308,202118936,,,POINT (2.3823308 48.8947894)
3627128610,48.8870176,2.2973247,3627128610,,,POINT (2.2973247 48.8870176)
207263529,48.8527896,2.3820559,207263529,,,POINT (2.3820559 48.8527896)
268212010,48.8429416,2.3706694,268212010,,,POINT (2.3706694 48.8429416)
94213931,48.8765875,2.3404174,94213931,,,POINT (2.3404174 48.8765875)
207263532,48.8538232,2.3815591,207263532,,,POINT (2.3815591 48.8538232)
327194426,48.873944,2.4123695,327194426,,,POINT (2.4123695 48.873944)
331454270,48.8470229,2.3754611,331454270,traffic_signals,,POINT (2.3754611 48.8470229)
1528207191,48.8594319,2.3999293,1528207191,,,POINT (2.3999293 48.8594319)
774707032,48.8515552,2.3853454,774707032,,,POINT (2.3853454 48.8515552)
995792731,48.8906067,2.3639222,995792731,,,POINT (2.3639222 48.8906067)
807212892,48.8709997,2.3251773,807212892,traffic_signals,,POINT (2.3251773 48.8709997)
995792734,48.8912159,2.3640027,995792734,,,POINT (2.3640027 48.8912159)
995792735,48.8905182,2.3646642,995792735,,,POINT (2.3646642 48.8905182)
699045729,48.8558238,2.3563573,699045729,,,POINT (2.3563573 48.8558238)
7070717798,48.8884739,2.373883,7070717798,traffic_signals,,POINT (2.373883 48.8884739)
34674540,48.8610946,2.3811391,34674540,traffic_signals,,POINT (2.3811391 48.8610946)
34674541,48.8615693,2.3825803,34674541,,,POINT (2.3825803 48.8615693)
1961531244,48.8765022,2.2945733,1961531244,,,POINT (2.2945733 48.8765022)
139270002,48.8349813,2.2551291,139270002,,,POINT (2.2551291 48.8349813)
152737652,48.8607808,2.3678314,152737652,,,POINT (2.3678314 48.8607808)
152737653,48.8613599,2.3700513,152737653,,,POINT (2.3700513 48.8613599)
573446012,48.8539908,2.368943,573446012,traffic_signals,,POINT (2.368943 48.8539908)
36476800,48.8314268,2.3254223,36476800,,,POINT (2.3254223 48.8314268)
24909711,48.8490158,2.4092344,24909711,,,POINT (2.4092344 48.8490158)
169318293,48.8729531,2.3430825,169318293,traffic_signals,,POINT (2.3430825 48.8729531)
3053492122,48.832481,2.3602582,3053492122,,,POINT (2.3602582 48.832481)
3053492123,48.8326693,2.3596584,3053492123,,,POINT (2.3596584 48.8326693)
268212125,48.8431945,2.370327,268212125,traffic_signals,,POINT (2.370327 48.8431945)
134518691,48.8648816,2.3986597,134518691,,,POINT (2.3986597 48.8648816)
110565283,48.8424504,2.3110668,110565283,,,POINT (2.3110668 48.8424504)
134518697,48.8650048,2.3985668,134518697,,,POINT (2.3985668 48.8650048)
24909738,48.848974,2.4077357,24909738,,,POINT (2.4077357 48.848974)
24909739,48.8489372,2.4054503,24909739,,,POINT (2.4054503 48.8489372)
24909742,48.8489313,2.4050386,24909742,,,POINT (2.4050386 48.8489313)
202119086,48.8934523,2.3846111,202119086,,,POINT (2.3846111 48.8934523)
24909744,48.8489146,2.4043209,24909744,,,POINT (2.4043209 48.8489146)
202119087,48.8931736,2.3851938,202119087,,,POINT (2.3851938 48.8931736)
24909749,48.8488784,2.4027688,24909749,,,POINT (2.4027688 48.8488784)
94181306,48.8789766,2.3557579,94181306,,,POINT (2.3557579 48.8789766)
34674620,48.8627766,2.3787073,34674620,,,POINT (2.3787073 48.8627766)
34674621,48.8624246,2.3790433,34674621,,,POINT (2.3790433 48.8624246)
34674622,48.861639,2.3773406,34674622,traffic_signals,,POINT (2.3773406 48.861639)
305174463,48.8481115,2.2640589,305174463,traffic_signals,,POINT (2.2640589 48.8481115)
34674624,48.8606491,2.3783091,34674624,,,POINT (2.3783091 48.8606491)
24909759,48.8558511,2.2973311,24909759,,,POINT (2.2973311 48.8558511)
201988034,48.8898349,2.3759602,201988034,,,POINT (2.3759602 48.8898349)
256579523,48.8657548,2.3568312,256579523,,,POINT (2.3568312 48.8657548)
262313917,48.8540912,2.3085479,262313917,,,POINT (2.3085479 48.8540912)
34674636,48.8613557,2.3800924,34674636,,,POINT (2.3800924 48.8613557)
24909773,48.8564477,2.29821,24909773,,,POINT (2.29821 48.8564477)
1307776975,48.8397256,2.4139968,1307776975,traffic_signals,,POINT (2.4139968 48.8397256)
36476880,48.8361984,2.3221818,36476880,,,POINT (2.3221818 48.8361984)
36476881,48.8359965,2.3218458,36476881,,,POINT (2.3218458 48.8359965)
36476882,48.8359192,2.321714,36476882,,,POINT (2.321714 48.8359192)
36476883,48.8356114,2.3211894,36476883,,,POINT (2.3211894 48.8356114)
690886612,48.8731807,2.3588478,690886612,,,POINT (2.3588478 48.8731807)
36476885,48.8350985,2.3203154,36476885,,,POINT (2.3203154 48.8350985)
36476886,48.8343841,2.31895,36476886,,,POINT (2.31895 48.8343841)
36476887,48.8339619,2.318143,36476887,,,POINT (2.318143 48.8339619)
141596632,48.8295541,2.3024197,141596632,,,POINT (2.3024197 48.8295541)
1307776985,48.8382707,2.4134632,1307776985,,,POINT (2.4134632 48.8382707)
36476890,48.8333954,2.3170928,36476890,,,POINT (2.3170928 48.8333954)
36476891,48.8329513,2.3162465,36476891,,,POINT (2.3162465 48.8329513)
1307776988,48.8371985,2.4131303,1307776988,,,POINT (2.4131303 48.8371985)
36476892,48.8326383,2.3156725,36476892,,,POINT (2.3156725 48.8326383)
3036682206,48.8940193,2.337364,3036682206,,,POINT (2.337364 48.8940193)
36476889,48.8334372,2.3171681,36476889,,,POINT (2.3171681 48.8334372)
3036682208,48.8942079,2.3367752,3036682208,,,POINT (2.3367752 48.8942079)
3036682209,48.8942685,2.3391313,3036682209,,,POINT (2.3391313 48.8942685)
929372127,48.8664286,2.2895302,929372127,,,POINT (2.2895302 48.8664286)
24909788,48.8562912,2.2984464,24909788,,,POINT (2.2984464 48.8562912)
3036682212,48.8943135,2.338441,3036682212,,,POINT (2.338441 48.8943135)
6207838190,48.8490658,2.3386935,6207838190,,,POINT (2.3386935 48.8490658)
244455407,48.8474408,2.3162486,244455407,,,POINT (2.3162486 48.8474408)
244455408,48.8539086,2.3964825,244455408,,,POINT (2.3964825 48.8539086)
359077874,48.8736782,2.2548689,359077874,,,POINT (2.2548689 48.8736782)
25237497,48.8481995,2.2484286,25237497,motorway_junction,,POINT (2.2484286 48.8481995)
638949372,48.8519482,2.2700355,638949372,,,POINT (2.2700355 48.8519482)
366594,48.8270179,2.3664849,366594,traffic_signals,,POINT (2.3664849 48.8270179)
366595,48.8276787,2.3713592,366595,traffic_signals,,POINT (2.3713592 48.8276787)
366596,48.8273743,2.3691247,366596,,,POINT (2.3691247 48.8273743)
244455428,48.853035,2.3971848,244455428,,,POINT (2.3971848 48.853035)
3647346693,48.8723571,2.3979152,3647346693,,,POINT (2.3979152 48.8723571)
244455430,48.8552433,2.4014669,244455430,,,POINT (2.4014669 48.8552433)
244455431,48.8564601,2.403018,244455431,,,POINT (2.403018 48.8564601)
244455433,48.8523258,2.4040265,244455433,traffic_signals,,POINT (2.4040265 48.8523258)
3647346694,48.872437,2.3979147,3647346694,,,POINT (2.3979147 48.872437)
366603,48.8212039,2.379048,366603,,,POINT (2.379048 48.8212039)
94214154,48.8770989,2.3405776,94214154,,,POINT (2.3405776 48.8770989)
244455437,48.8557543,2.4042746,244455437,,,POINT (2.4042746 48.8557543)
244455438,48.8562147,2.4047721,244455438,traffic_signals,,POINT (2.4047721 48.8562147)
3647346701,48.87778,2.3957203,3647346701,,,POINT (2.3957203 48.87778)
3647346703,48.8737888,2.3883158,3647346703,,,POINT (2.3883158 48.8737888)
244455441,48.8539904,2.4057184,244455441,,,POINT (2.4057184 48.8539904)
244455442,48.8532489,2.4032864,244455442,,,POINT (2.4032864 48.8532489)
36476947,48.8322287,2.3128614,36476947,traffic_signals,,POINT (2.3128614 48.8322287)
141596692,48.8290863,2.3024964,141596692,,,POINT (2.3024964 48.8290863)
244455444,48.8555741,2.4006798,244455444,,,POINT (2.4006798 48.8555741)
36476946,48.8319688,2.3135538,36476946,,,POINT (2.3135538 48.8319688)
3647346711,48.8753061,2.3939364,3647346711,,,POINT (2.3939364 48.8753061)
2043615250,48.851067,2.3462028,2043615250,,,POINT (2.3462028 48.851067)
94214160,48.8793363,2.3427941,94214160,,,POINT (2.3427941 48.8793363)
306092060,48.8456723,2.3726223,306092060,,,POINT (2.3726223 48.8456723)
123246622,48.8826727,2.3698584,123246622,,,POINT (2.3698584 48.8826727)
24909856,48.8478046,2.3991444,24909856,,,POINT (2.3991444 48.8478046)
244455458,48.8519048,2.3993685,244455458,,,POINT (2.3993685 48.8519048)
359077922,48.8740117,2.2550297,359077922,,,POINT (2.2550297 48.8740117)
244455460,48.8527831,2.4066132,244455460,traffic_signals,,POINT (2.4066132 48.8527831)
244455461,48.8539014,2.4064117,244455461,,,POINT (2.4064117 48.8539014)
24909862,48.8474221,2.4034109,24909862,,,POINT (2.4034109 48.8474221)
139270183,48.8359601,2.2542974,139270183,,,POINT (2.2542974 48.8359601)
3647346728,48.8723274,2.3979205,3647346728,,,POINT (2.3979205 48.8723274)
175020069,48.868395,2.349867,175020069,,,POINT (2.349867 48.868395)
244455466,48.8561155,2.4055057,244455466,traffic_signals,,POINT (2.4055057 48.8561155)
244455467,48.8564951,2.4052201,244455467,,,POINT (2.4052201 48.8564951)
244455468,48.8562854,2.4048814,244455468,traffic_signals,,POINT (2.4048814 48.8562854)
24909866,48.8471481,2.4062327,24909866,,,POINT (2.4062327 48.8471481)
6475356205,48.8494979,2.3709437,6475356205,,,POINT (2.3709437 48.8494979)
244455471,48.8555155,2.4097153,244455471,,,POINT (2.4097153 48.8555155)
244455472,48.8557499,2.4082396,244455472,traffic_signals,,POINT (2.4082396 48.8557499)
244455473,48.8566733,2.4092583,244455473,,,POINT (2.4092583 48.8566733)
3647346736,48.8726524,2.3943357,3647346736,,,POINT (2.3943357 48.8726524)
244455479,48.8559017,2.4100641,244455479,,,POINT (2.4100641 48.8559017)
244455480,48.8533385,2.4096933,244455480,,,POINT (2.4096933 48.8533385)
244455481,48.8547665,2.4089599,244455481,,,POINT (2.4089599 48.8547665)
244455482,48.8552597,2.4095109,244455482,,,POINT (2.4095109 48.8552597)
244455483,48.8547435,2.4103001,244455483,,,POINT (2.4103001 48.8547435)
244455484,48.8577499,2.4075757,244455484,,,POINT (2.4075757 48.8577499)
244455485,48.8562323,2.4058067,244455485,traffic_signals,,POINT (2.4058067 48.8562323)
244455486,48.8561126,2.4058825,244455486,traffic_signals,,POINT (2.4058825 48.8561126)
246552638,48.8397727,2.4138833,246552638,,,POINT (2.4138833 48.8397727)
148740160,48.8334765,2.2942256,148740160,,,POINT (2.2942256 48.8334765)
244455489,48.8581206,2.4046162,244455489,,,POINT (2.4046162 48.8581206)
2209978433,48.8243384,2.384691,2209978433,,,POINT (2.384691 48.8243384)
359077952,48.8738393,2.2549462,359077952,,,POINT (2.2549462 48.8738393)
728471621,48.8647547,2.317587,728471621,,,POINT (2.317587 48.8647547)
244455499,48.854669,2.4120729,244455499,,,POINT (2.4120729 48.854669)
244455500,48.8543149,2.4130481,244455500,,,POINT (2.4130481 48.8543149)
244455501,48.8537038,2.4120377,244455501,,,POINT (2.4120377 48.8537038)
244455502,48.8537919,2.4120008,244455502,,,POINT (2.4120008 48.8537919)
470166,48.8599384,2.3101795,470166,,,POINT (2.3101795 48.8599384)
177215574,48.8590482,2.2934949,177215574,,,POINT (2.2934949 48.8590482)
169318491,48.8732126,2.3409462,169318491,,,POINT (2.3409462 48.8732126)
5495986279,48.8866132,2.3846126,5495986279,,,POINT (2.3846126 48.8866132)
152737902,48.8599782,2.3708904,152737902,,,POINT (2.3708904 48.8599782)
244455538,48.8563936,2.4117921,244455538,,,POINT (2.4117921 48.8563936)
359078003,48.873856,2.2550542,359078003,,,POINT (2.2550542 48.873856)
244455541,48.8556026,2.4108307,244455541,,,POINT (2.4108307 48.8556026)
568760439,48.8764234,2.2782873,568760439,,,POINT (2.2782873 48.8764234)
244455544,48.8588245,2.4115131,244455544,,,POINT (2.4115131 48.8588245)
244455545,48.8607348,2.4112388,244455545,,,POINT (2.4112388 48.8607348)
244455548,48.8625784,2.4109154,244455548,,,POINT (2.4109154 48.8625784)
244455550,48.8606023,2.4092355,244455550,,,POINT (2.4092355 48.8606023)
5995862144,48.8275738,2.3533854,5995862144,,,POINT (2.3533854 48.8275738)
568760458,48.8775503,2.2794985,568760458,,,POINT (2.2794985 48.8775503)
244455563,48.857042,2.4114663,244455563,,,POINT (2.4114663 48.857042)
244455564,48.8569838,2.411184,244455564,,,POINT (2.411184 48.8569838)
244455566,48.858761,2.4105986,244455566,,,POINT (2.4105986 48.858761)
244455569,48.8575724,2.4107943,244455569,,,POINT (2.4107943 48.8575724)
244455571,48.8574697,2.399441,244455571,,,POINT (2.399441 48.8574697)
24909972,48.8471433,2.4110875,24909972,,,POINT (2.4110875 48.8471433)
244455575,48.8575259,2.4018447,244455575,,,POINT (2.4018447 48.8575259)
244455579,48.8581074,2.4033753,244455579,,,POINT (2.4033753 48.8581074)
244455580,48.8568311,2.4026547,244455580,,,POINT (2.4026547 48.8568311)
141564062,48.8472874,2.2838421,141564062,,,POINT (2.2838421 48.8472874)
5660252321,48.8638038,2.3769983,5660252321,,,POINT (2.3769983 48.8638038)
244455586,48.8515814,2.3998637,244455586,,,POINT (2.3998637 48.8515814)
258676899,48.8611446,2.3828501,258676899,,,POINT (2.3828501 48.8611446)
2401441954,48.8841688,2.3685941,2401441954,,,POINT (2.3685941 48.8841688)
244455587,48.8532731,2.3772848,244455587,traffic_signals,,POINT (2.3772848 48.8532731)
244455594,48.8485135,2.3067721,244455594,,,POINT (2.3067721 48.8485135)
244455595,48.8434474,2.282755,244455595,traffic_signals,,POINT (2.282755 48.8434474)
244455596,48.8441381,2.2812144,244455596,traffic_signals,,POINT (2.2812144 48.8441381)
244455597,48.8461517,2.272448,244455597,,,POINT (2.272448 48.8461517)
1756731567,48.8450702,2.2974679,1756731567,traffic_signals,,POINT (2.2974679 48.8450702)
2689407152,48.839566,2.3969606,2689407152,,,POINT (2.3969606 48.839566)
2429819061,48.8176358,2.3584169,2429819061,,,POINT (2.3584169 48.8176358)
331946174,48.8985001,2.3865765,331946174,,,POINT (2.3865765 48.8985001)
583014591,48.8741867,2.3371723,583014591,,,POINT (2.3371723 48.8741867)
310745283,48.8508178,2.2928068,310745283,traffic_signals,,POINT (2.2928068 48.8508178)
268146884,48.8903246,2.2961426,268146884,,,POINT (2.2961426 48.8903246)
2689407184,48.8396939,2.3961214,2689407184,,,POINT (2.3961214 48.8396939)
6414080215,48.8974728,2.3442386,6414080215,,,POINT (2.3442386 48.8974728)
268146906,48.889498,2.2971439,268146906,,,POINT (2.2971439 48.889498)
151361754,48.8606816,2.3752716,151361754,,,POINT (2.3752716 48.8606816)
268146908,48.8891693,2.2971408,268146908,,,POINT (2.2971408 48.8891693)
264542426,48.8474573,2.2584977,264542426,,,POINT (2.2584977 48.8474573)
268146910,48.8876098,2.2946682,268146910,traffic_signals,,POINT (2.2946682 48.8876098)
141596896,48.829474,2.3029785,141596896,,,POINT (2.3029785 48.829474)
268146918,48.8893902,2.2975691,268146918,,,POINT (2.2975691 48.8893902)
112040187,48.8428084,2.2987879,112040187,,,POINT (2.2987879 48.8428084)
94247165,48.8903902,2.3415923,94247165,,,POINT (2.3415923 48.8903902)
1706203405,48.8934715,2.3539911,1706203405,,,POINT (2.3539911 48.8934715)
432806181,48.8483803,2.3991153,432806181,,,POINT (2.3991153 48.8483803)
130095414,48.8464628,2.3060861,130095414,traffic_signals,,POINT (2.3060861 48.8464628)
262314301,48.8538401,2.3067954,262314301,,,POINT (2.3067954 48.8538401)
295147841,48.8497726,2.2666761,295147841,,,POINT (2.2666761 48.8497726)
725031242,48.8235159,2.3194775,725031242,,,POINT (2.3194775 48.8235159)
331946317,48.8985565,2.3864517,331946317,,,POINT (2.3864517 48.8985565)
130095450,48.846678,2.3062174,130095450,,,POINT (2.3062174 48.846678)
277518683,48.8808474,2.3125429,277518683,traffic_signals,,POINT (2.3125429 48.8808474)
817830235,48.8757642,2.3229408,817830235,,,POINT (2.3229408 48.8757642)
94181728,48.8812671,2.3581003,94181728,traffic_signals,,POINT (2.3581003 48.8812671)
94181730,48.8828527,2.3590344,94181730,traffic_signals,,POINT (2.3590344 48.8828527)
94181731,48.8843133,2.3592911,94181731,traffic_signals,,POINT (2.3592911 48.8843133)
558963058,48.8503587,2.4074795,558963058,,,POINT (2.4074795 48.8503587)
4847081846,48.8488486,2.3719438,4847081846,,,POINT (2.3719438 48.8488486)
792952,48.8291089,2.3605484,792952,,,POINT (2.3605484 48.8291089)
792953,48.8292377,2.3607027,792953,,,POINT (2.3607027 48.8292377)
792954,48.830247,2.3622164,792954,,,POINT (2.3622164 48.830247)
160668025,48.8441109,2.2843513,160668025,,,POINT (2.2843513 48.8441109)
792958,48.8315812,2.3636624,792958,,,POINT (2.3636624 48.8315812)
792960,48.8320827,2.3652678,792960,,,POINT (2.3652678 48.8320827)
792961,48.8323844,2.364868,792961,,,POINT (2.364868 48.8323844)
792962,48.8333207,2.3636524,792962,,,POINT (2.3636524 48.8333207)
792964,48.8305397,2.3660044,792964,,,POINT (2.3660044 48.8305397)
792967,48.8294349,2.3653992,792967,,,POINT (2.3653992 48.8294349)
792970,48.8302063,2.3675311,792970,,,POINT (2.3675311 48.8302063)
792971,48.8303829,2.3678437,792971,,,POINT (2.3678437 48.8303829)
792972,48.8304947,2.3674109,792972,,,POINT (2.3674109 48.8304947)
792973,48.8305555,2.3673258,792973,,,POINT (2.3673258 48.8305555)
792976,48.8294237,2.3685297,792976,,,POINT (2.3685297 48.8294237)
411736464,48.8442604,2.3647737,411736464,traffic_signals,,POINT (2.3647737 48.8442604)
792980,48.8291866,2.3652664,792980,,,POINT (2.3652664 48.8291866)
792982,48.8290971,2.3650272,792982,,,POINT (2.3650272 48.8290971)
54794647,48.8958205,2.3458049,54794647,,,POINT (2.3458049 48.8958205)
792984,48.8289992,2.3653829,792984,,,POINT (2.3653829 48.8289992)
792985,48.8283186,2.3672561,792985,crossing,,POINT (2.3672561 48.8283186)
792986,48.8279199,2.3666434,792986,,,POINT (2.3666434 48.8279199)
792987,48.8275863,2.3661349,792987,,,POINT (2.3661349 48.8275863)
54794649,48.8956182,2.3463293,54794649,traffic_signals,,POINT (2.3463293 48.8956182)
792983,48.8289449,2.3652885,792983,,,POINT (2.3652885 48.8289449)
290757022,48.8583626,2.4007066,290757022,,,POINT (2.4007066 48.8583626)
792988,48.8281995,2.3657574,792988,,,POINT (2.3657574 48.8281995)
792989,48.8285922,2.3655156,792989,,,POINT (2.3655156 48.8285922)
792991,48.8277737,2.3645499,792991,,,POINT (2.3645499 48.8277737)
559061415,48.8638571,2.381204,559061415,,,POINT (2.381204 48.8638571)
139237818,48.8392345,2.298702,139237818,,,POINT (2.298702 48.8392345)
94116285,48.8828291,2.3824601,94116285,,,POINT (2.3824601 48.8828291)
1757649347,48.8723662,2.3374249,1757649347,traffic_signals,,POINT (2.3374249 48.8723662)
148740553,48.8339823,2.2947666,148740553,,,POINT (2.2947666 48.8339823)
94214602,48.8777882,2.339506,94214602,,,POINT (2.339506 48.8777882)
432806356,48.8478192,2.3990188,432806356,,,POINT (2.3990188 48.8478192)
180296150,48.835555,2.2693074,180296150,,,POINT (2.2693074 48.835555)
4742879704,48.897725,2.337471,4742879704,,,POINT (2.337471 48.897725)
180296152,48.8353057,2.2683563,180296152,,,POINT (2.2683563 48.8353057)
180296156,48.8353106,2.2672339,180296156,,,POINT (2.2672339 48.8353106)
94149088,48.8651649,2.375266,94149088,,,POINT (2.375266 48.8651649)
152738274,48.8596219,2.3695431,152738274,,,POINT (2.3695431 48.8596219)
271456740,48.852906,2.2538734,271456740,,,POINT (2.2538734 48.852906)
152738277,48.8602798,2.3720411,152738277,,,POINT (2.3720411 48.8602798)
